timestamp,label,duration_seconds,screenshot_path
20251108_102721,mobile_in_hand_start,0,screenshots\mobile_in_hand_start_20251108_102721.jpg
20251108_102820,mobile_in_hand_end,18.13,screenshots\mobile_in_hand_end_20251108_102820.jpg
